"","Friends/Friendly","romantic","Work/school","family","Close","Casey dislikes Alex","Casey and Alex co-habitate","Alex's Phone","Alex's tablet","Alex's Computer","A shared device","Already Logged in","Shared Password","Guessing attack on Password","Stolen Password","Observation","Coerced Authentication","One Session","More than one session","short session time","long session time ","Daytime","Nighttime","impersonation","snooping","leak","stealth","destructive and misuse","newsfeed","likes","profile","Friends List","Photos or Videos","Messages","Posts / Comments and Status Updates","Apps and Games","Settings","Notifications","Alex's Home","Casey's home","Home space","Work/Study space","Prank","Jealousy","Utilitarian","Curiosity","Harm","Bored","Deliberate","Opportunistic","Undiscovered","Traced","Admission","Immediatly noticeable","blackmail","Relief","Regret","Distress","Empathy","Debased","Amusement","Anger","Violated","Behaviour Change","Recovery","Relationship Change","debased","Punishment","Justified","Recidivism","Shared Device"
"Friends/Friendly","12","0","0","0","2","1","3","7","0","2","A shared device","10","0","2","1","1","0","12","0","6","1","7","2","7","5","leak","1","1","1","1","3","2","3","4","4","0","1","1","7","3","1","1","7","0","1","3","1","0","1","11","3","7","0","4","0","0","2","2","0","Debased","4","3","1","3","0","1","2","0","0","Recidivism","Shared Device"
"romantic","0","22","0","0","0","0","16","10","0","9","0","20","3","0","3","1","1","19","3","6","9","7","11","4","18","0","0","1","3","0","4","3","4","19","6","0","0","1","18","17","1","0","0","18","0","5","2","1","5","15","6","3","9","3","0","4","6","0","0","0","0","10","4","2","2","9","2","0","1","0","0"
"Work/school","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","1","1","0","0","2","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","2","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0"
"family","0","0","0","7","1","0","4","2","1","3","0","6","0","0","1","0","0","6","1","2","1","1","2","3","3","0","0","0","1","1","1","2","1","2","4","1","0","1","6","4","1","0","3","0","1","3","0","0","0","7","0","3","3","2","0","0","0","0","1","0","2","4","0","2","1","1","2","0","1","0","0"
"Close","2","0","0","1","3","0","0","3","0","0","0","2","0","0","1","1","0","2","1","1","0","0","2","1","2","0","1","0","1","1","1","1","1","2","1","0","1","1","1","1","1","0","1","0","0","2","0","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0"
"Casey dislikes Alex","1","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Casey and Alex co-habitate","3","16","0","4","0","1","23","8","0","12","0","20","3","0","4","0","0","20","3","6","9","8","9","7","16","0","0","2","3","0","4","4","4","15","6","1","0","0","23","21","0","0","4","12","1","7","3","1","5","17","3","6","9","4","0","2","3","0","1","0","4","10","2","3","3","6","3","0","2","0","0"
"Alex's Phone","7","10","1","2","3","0","8","20","0","0","0","16","2","1","1","2","1","17","3","8","5","8","8","6","14","0","1","0","2","2","4","1","2","14","7","0","1","3","13","10","2","1","5","9","0","7","0","0","2","17","6","6","3","3","0","4","7","2","0","0","2","7","3","4","0","4","3","0","0","0","0"
"Alex's tablet","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"Alex's Computer","2","9","0","3","0","1","12","0","0","15","0","14","1","0","2","0","0","14","1","3","5","6","6","5","9","0","0","2","2","0","4","4","3","9","6","1","0","0","14","11","0","0","3","6","1","4","2","1","3","12","2","5","8","4","0","0","0","0","1","0","3","7","2","2","3","5","1","0","2","0","0"
"A shared device","A shared device","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Already Logged in","10","20","1","6","2","1","20","16","1","14","0","39","1","1","4","2","1","36","3","14","11","13","16","13","24","0","1","2","3","1","6","6","7","23","16","1","1","2","28","21","3","2","10","18","2","9","4","0","7","29","8","11","12","11","1","4","7","2","1","0","6","16","5","7","4","11","6","1","2","0","0"
"Shared Password","0","3","0","0","0","0","3","2","0","1","0","1","3","0","0","0","0","3","0","1","2","2","1","1","3","0","0","0","1","0","2","1","0","2","0","0","0","0","3","3","0","0","0","1","0","1","0","1","0","3","1","0","2","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"Guessing attack on Password","2","0","0","0","0","0","0","1","0","0","0","1","0","2","0","0","0","2","0","1","0","0","0","1","0","0","0","0","1","1","1","0","2","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","2","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Stolen Password","1","3","0","1","1","1","4","1","0","2","0","4","0","0","5","0","0","2","3","1","0","2","2","0","4","0","0","1","1","1","1","2","1","5","0","0","0","1","5","3","0","0","0","3","0","2","1","0","3","2","0","2","1","0","0","0","0","0","0","0","0","2","1","0","1","2","0","0","0","0","0"
"Observation","1","1","0","0","1","0","0","2","0","0","0","2","0","0","0","2","0","2","0","1","0","0","2","1","1","0","1","0","0","0","0","0","0","1","2","0","1","1","0","1","1","0","1","1","0","0","0","0","0","2","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0"
"Coerced Authentication","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"One Session","12","19","1","6","2","1","20","17","1","14","0","36","3","2","2","2","1","40","0","15","12","15","14","16","24","0","1","2","4","1","8","7","8","22","16","1","1","2","28","21","3","2","12","15","2","10","4","1","5","32","9","12","11","11","1","3","7","2","1","0","8","14","4","6","3","10","6","1","2","0","0"
"More than one session","0","3","1","1","1","0","3","3","0","1","0","3","0","0","3","0","0","0","5","0","0","2","2","0","4","0","0","0","1","1","1","1","1","5","0","0","0","1","4","3","0","1","0","3","0","2","0","0","2","3","0","2","2","0","0","1","1","0","0","0","0","4","1","2","1","1","0","0","0","0","0"
"short session time","6","6","0","2","1","0","6","8","0","3","0","14","1","1","1","1","1","15","0","15","0","6","5","6","8","0","1","0","2","1","3","3","4","5","7","0","1","1","11","5","2","1","6","4","1","4","0","0","2","13","7","4","1","3","0","1","5","1","0","0","4","3","0","2","0","1","3","0","0","0","0"
"long session time ","1","9","1","1","0","0","9","5","0","5","0","11","2","0","0","0","0","12","0","0","12","5","4","4","7","0","0","1","2","0","2","2","3","9","4","1","0","0","10","9","0","1","1","7","1","2","3","1","1","9","1","3","5","4","1","1","1","0","1","0","0","4","2","3","3","4","2","1","1","0","0"
"Daytime","7","7","1","1","0","1","8","8","1","6","0","13","2","0","2","0","0","15","2","6","5","17","1","6","11","0","0","1","1","0","3","5","1","11","4","0","0","1","14","7","0","1","5","5","1","5","1","1","1","16","4","7","4","4","0","0","4","0","0","0","3","6","2","4","2","3","1","0","0","0","0"
"Nighttime","2","11","0","2","2","0","9","8","0","6","0","16","1","0","2","2","1","14","2","5","4","1","16","3","11","0","1","0","1","0","1","1","2","11","5","1","1","1","10","11","3","0","3","10","1","4","0","0","4","12","4","3","6","3","0","4","4","1","1","0","1","6","3","3","2","6","2","0","1","0","0"
"impersonation","7","4","0","3","1","0","7","6","0","5","0","13","1","1","0","1","0","16","0","6","4","6","3","16","3","0","1","1","2","0","6","3","3","4","11","0","1","0","9","7","2","1","12","2","0","0","2","1","2","12","0","9","2","10","0","0","1","0","0","0","8","7","1","4","0","2","6","0","0","0","0"
"snooping","5","18","2","3","2","1","16","14","1","9","0","24","3","0","4","1","1","24","4","8","7","11","11","3","28","0","0","1","3","1","5","6","5","23","4","0","0","3","21","17","1","2","1","15","1","11","2","1","5","21","8","3","10","2","1","4","7","1","0","0","1","11","3","3","2","8","0","1","1","0","0"
"leak","leak","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"stealth","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"destructive and misuse","1","1","0","0","0","1","2","0","0","2","0","2","0","0","1","0","0","2","0","0","1","1","0","1","1","0","0","2","0","0","1","2","1","2","1","0","0","0","2","1","0","0","0","0","0","1","2","0","2","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0"
"newsfeed","1","3","0","1","1","0","3","2","0","2","0","3","1","1","1","0","0","4","1","2","2","1","1","2","3","0","0","0","5","2","3","3","4","2","3","0","0","1","5","3","0","0","0","1","0","3","1","1","0","4","2","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
